Configuration,Method,sm_efficiency,achieved_occupancy,warp_exec_efficiency,inst_per_warp,inst_executed,gld_efficiency,gst_efficeincy,shared_efficiency,ipc,shared_utilization,l2_utilization,tex_cache_hit_rate,tex_utilization,global_hit_rate,inst_issued,issue_slot_utilization,Time
(1_256_3) D,DIRECT,99.58,0.853517,76.21,140,1666980,42.94,50,53.24,2.189204,3,3,44.42,4,0,1667184,47.54,3462.64
(1_400_6) D,DIRECT,99.9,0.85902,98.08,126.8,6213834,35.99,50,51.32,1.866067,3,3,45.31,5,0,6214068,40.13,14959.499
(1_320_6) D,DIRECT,99.85,0.85445,98.08,126.8,3956794,34.06,50,51.32,1.858887,3,3,45.31,5,0,3957013,40.23,9526.52
(1_256_6) D,DIRECT,99.76,0.839254,97.43,131.4,2607633,24.36,50,51.64,1.930692,3,3,45.31,5,0,2607852,42.11,6102.49
(1_128_6) D,DIRECT,99.01,0.825745,97.43,131.4,631377,26.37,50,51.36,1.921558,3,3,45.33,5,0,631536,41.94,1478.22
(1_32_6) D,DIRECT,84.98,0.639083,97.43,131.4,32193,25.04,50,51.98,1.718357,2,2,45.46,3,0,32346,37.73,89.702
(1_256_9) D,DIRECT,99.83,0.800093,89.15,134.625,4274613,19.64,50,51.73,2.168497,3,3,45.63,5,0,4274875,47.4,8990.31
(1_64_9) D,DIRECT,97.11,0.768462,89.15,134.625,242325,33.37,50,50.79,2.127024,3,3,45.67,4,0,242493,46.49,513.35
(1_256_12) D,DIRECT,99.84,0.798971,97.43,131.4,5215266,26.5,50,51.6,2.308572,3,4,45.79,6,0,5215523,50.68,10548.7
(1_64_12) D,DIRECT,97.41,0.736525,97.43,131.4,295650,26.62,50,51.04,2.26582,3,3,45.82,5,0,295808,49.44,593.77
(3_150_16) D,DIRECT,99.68,0.522413,97.18,247.307692,4401335,37.17,39.67,49.51,1.786468,4,4,47.98,7,0,4401553,35.34,11095.1
(3_64_16) D,DIRECT,98.59,0.512707,99.39,246.076923,719775,21.66,50,51.16,1.808204,4,4,48.28,7,0,719903,35.76,1803.39
(3_32_16) D,DIRECT,94.25,0.505813,99.39,246.076923,156751,22.26,50,50.85,1.750965,3,4,48.32,7,0,156867,34.65,415.4
(6_150_16) D,DIRECT,99.82,0.531344,97.25,425.615385,7574677,19.9,39.67,49.54,1.825128,4,5,48.73,8,0,7574953,35.09,19369.9
(6_128_16) D,DIRECT,99.78,0.525655,99.65,424.384615,5301837,23.93,50,50.87,1.775742,4,4,48.89,8,0,5302059,34.08,13147.5
(6_70_16) D,DIRECT,99.23,0.507775,94.46,425.615385,1599037,33.38,39.29,47.95,1.715705,4,4,48.75,8,0,1599192,32.9,4282.48
(6_32_16) D,DIRECT,95.69,0.499589,99.65,424.384615,270333,32.17,50,50.5,1.751918,4,4,48.94,8,0,270451,33.58,721.08
(6_16_16) D,DIRECT,80.25,0.455649,99.65,423.384615,49536,40.05,50,50.98,1.692069,3,4,49.03,6,0,49650,32.57,154
(6_8_16) D,DIRECT,37.3,0.134844,99.78,399.615385,5195,70.66,100,53.96,1.199454,1,1,50,2,0,5216,22.77,46.222
(6_32_32) D,DIRECT,96.97,0.498349,100,437.48,535913,27.01,50,50.25,1.780897,4,4,49.14,8,0,536044,34.08,1426.87
(6_16_32) D,DIRECT,85.59,0.472415,100,436.48,98208,24.94,50,50.63,1.759093,4,4,49.19,7,0,98329,33.65,286.21
(6_8_32) D,DIRECT,41.09,0.255837,100,412.44,10311,31.21,100,50.35,1.523166,2,2,50,3,0,10348,28.77,65.564
(16_32_32) D,DIRECT,97.68,0.494577,100,1.04E+03,1278361,23.1,50,50.6,1.713286,5,5,49.54,9,0,1278500,31.36,3846.49
(16_16_32) D,DIRECT,88.19,0.471001,100,1.04E+03,234576,15.65,50,50.28,1.69739,4,4,49.59,8,0,234692,31.1,773.08
(16_8_32) D,DIRECT,45.82,0.252163,100,1.02E+03,25463,54.99,100,52.15,1.58482,2,2,50,4,0,25504,28.82,148.38
(16_32_64) D,DIRECT,97.83,0.914276,100,1.61E+03,2517130,27.6,50,50.54,1.74512,5,5,49.65,9,0,2517303,31.81,6594.66
(16_16_64) D,DIRECT,89.2,0.889661,100,1.60E+03,462042,24.46,50,50.12,1.732356,4,4,49.67,8,0,462187,31.58,1335.04
(16_8_64) D,DIRECT,47.71,0.48707,100,1.58E+03,50408,39.49,100,51.29,1.652441,2,2,50,4,0,50454,29.96,276.33
(32_32_64) D,DIRECT,98.14,0.949274,100,3.13E+03,4904116,29.77,50,50.79,1.635171,5,5,49.77,9,0,4904354,29.56,13765.5
(32_8_64) D,UNROLL,48.8,0.491987,100,3.10E+03,99122,20.52,100,51.93,1.665382,3,3,50,5,0,99162,30.02,533.04
(1_256_3) U,UNROLL,99.34,0.484958,97.9,407.894763,1620158,100.79,100,27.38,3.355753,4,2,51.54,2,4.85,1620593,72.27,5916.21
(1_400_6) U,UNROLL,99.94,0.182782,100,827,16212508,26.3,100,76.47,2.348448,6,1,76.5,1,78.07,16212714,49.56,66983
(1_320_6) U,UNROLL,99.92,0.182798,100,827,10324268,29.44,100,76.47,2.342892,6,1,76.49,1,78.06,10324422,51.42,55412.4
(1_256_6) U,UNROLL,99.87,0.182566,100,827,6566380,26.3,100,76.47,2.389968,6,1,76.5,1,78.06,6566508,52.43,24284.1
(1_128_6) U,UNROLL,99.43,0.182246,100,827,1591148,24.74,100,76.47,2.368285,6,1,76.48,1,78.05,1591233,51.42,3749.28
(1_32_6) U,UNROLL,88.79,0.174022,100,827,82700,26.66,100,77.13,2.231771,5,1,76.25,1,77.79,82772,47.38,265.27
(1_256_9) U,UNROLL,99.86,0.182646,100,827,6566380,26.26,100,76.47,2.429764,6,1,76.64,1,79.09,6566505,50.69,21265.4
(1_64_9) U,UNROLL,97.54,0.180836,100,827,373804,27.77,100,76.75,2.434626,6,1,76.57,1,79,373878,52.76,909.06
(1_256_12) U,UNROLL,99.86,0.182702,100,827,6566380,27.49,100,76.92,2.341931,6,1,77.08,1,80.08,6566507,52.17,19186.8
(1_64_12) U,UNROLL,97.61,0.18065,100,827,373804,27.5,100,76.47,2.409606,6,1,77,1,80.02,373879,52.09,791.26
(3_150_16) U,UNROLL,99.73,0.183818,100,1.47E+03,3929964,23.45,88.88,73.67,2.732779,5,2,77.7,1,77.76,3930057,59.32,14225.3
(3_64_16) U,UNROLL,98.24,0.181931,100,1.47E+03,665796,25.28,100,73.62,2.77188,5,1,77.53,1,78.6,665871,59.58,1441.6
(3_32_16) U,UNROLL,91.69,0.174795,100,1.47E+03,147300,24.64,100,74.07,2.743163,5,1,77.18,1,78.2,147372,58.62,411.62
(6_150_16) U,UNROLL,99.79,0.184786,100,2.12E+03,5653492,22.75,88.88,71.81,2.724538,5,2,77.28,2,75.84,5653590,60.04,20760.4
(6_128_16) U,UNROLL,99.7,0.184505,100,2.12E+03,4076956,24.56,100,71.81,2.857319,5,2,76.1,2,75.99,4077046,62.89,14476.9
(6_70_16) U,UNROLL,98.91,0.183184,100,2.12E+03,1161212,23.9,88.83,71.81,2.808911,5,2,77.39,2,75.93,1161289,60.76,2958.82
(6_32_16) U,UNROLL,93.14,0.174832,100,2.12E+03,211900,26.16,100,72.38,2.852529,5,1,76.96,1,77.15,211973,61.38,414.42
(6_16_16) U,UNROLL,77.78,0.15096,100,2.12E+03,42380,26.26,100,71.81,2.48105,4,1,78.06,1,77.97,42440,53.63,86.529
(6_8_16) U,UNROLL,40.48,0.06242,100,2.12E+03,8476,33.96,100,71.81,1.337229,1,1,77.3,1,76.56,8488,28.68,130.79
(6_32_32) U,UNROLL,93.07,0.174953,100,2.12E+03,211900,24.07,100,72.33,2.726011,4,1,77.31,1,77.46,211973,58.55,565.25
(6_16_32) U,UNROLL,78.48,0.151614,100,2.12E+03,42380,27.49,100,72.23,2.355834,3,1,78.85,2,78.8,42440,50.72,93.846
(6_8_32) U,UNROLL,40.59,0.062405,100,2.12E+03,8476,35.26,100,71.81,1.30367,1,1,77.7,1,76.79,8488,27.62,61.145
(16_32_32) U,UNROLL,94.27,0.174701,100,4.48E+03,447900,104.58,100,69.11,3.147539,5,2,8.98,2,7.07,447973,68.69,992.91
(16_16_32) U,UNROLL,81.09,0.147784,100,4.48E+03,89580,101.4,100,68.8,2.986261,4,1,14.95,2,11.66,89640,65.81,157.01
(16_8_32) U,UNROLL,44.06,0.062446,100,4.48E+03,17916,121.24,100,69.95,1.583424,1,1,2.53,1,0,17928,35.67,102.91
(16_32_64) U,UNROLL,98.74,0.180538,100,4.48E+03,895800,101.79,100,68.82,3.288867,5,3,5.64,2,2.5,895875,73.95,1614.95
(16_16_64) U,UNROLL,96.11,0.046788,100,3.15E+04,189198,125.88,100,51.35,2.07708,3,1,50,1,45.48,189260,46.39,422.12
(16_8_64) U,UNROLL,87.45,0.062445,100,4.48E+03,35832,108.87,100,69.31,1.610091,2,1,2.53,1,0,35856,35.26,124.76
(32_32_64) U,UNROLL,99.21,0.180893,100,8.20E+03,1639800,102.27,100,68.18,3.364824,5,3,3.7,3,2.63,1639877,75.1,3991.15
(32_8_64) U,UNROLL,92.72,0.062468,100,8.20E+03,65592,109.88,100,68.75,1.709089,3,1,1.3,1,0,65616,38,237.9
(1_256_3) T,TensorRT,99.63,0.36914,100,2171,4315948,82.06,100,56.6,3.594834,6,1,87.72,10,84.27,4316571,83.02,6612.006
(1_400_6) T,TensorRT,99.8,0.370441,100,2171,10646584,80.27,100,56.6,3.600377,5,1,84.96,2,83.57,10647386,82.17,6154.64
(1_320_6) T,TensorRT,99.75,0.308589,100,2171,6782204,80.15,100,56.6,3.597437,6,1,84.96,2,83.73,6782873,82.72,13936.8
(1_256_6) T,TensorRT,99.62,0.365068,100,2281,4534628,79.04,100,56.6,3.383126,5,1,85.26,1,82.15,4535244,77.19,8926.04
(1_128_6) T,TensorRT,98.52,0.356665,56.2,1971.9,1232466,52.99,12.5,15.85,3.901055,2,2,63.53,2,55.96,1232976,90.7,6430.49
(1_32_6) T,TensorRT,89.87,0.212942,57.03,1929.4,69457,54.62,12.5,15.76,2.473276,1,1,65.02,1,44.63,69867,57.94,2618.9053
(1_256_9) T,TensorRT,99.68,0.368995,100,2171,4315948,78,100,56.6,3.57696,5,1,83.23,2,85.66,4316529,82.1,295.0071
(1_64_9) T,TensorRT,93.95,0.331579,100,2171,251836,75.52,100,56.6,3.27061,5,1,82.5,1,83.67,252383,76.01,5733.49
(1_256_12) T,TensorRT,99.59,0.351594,100,2171,4315948,75.94,100,56.6,3.587343,5,1,81.36,2,84.96,4316585,81.73,760.72
(1_64_12) T,TensorRT,95.92,0.288748,66.22,1978,284832,53.3,12.5,25.83,2.511525,2,2,42.03,2,52.26,285343,58.51,5559.42
(3_150_16) T,TensorRT,99.27,0.36511,100,4501,3006668,71.91,88.88,54,3.73923,6,10,82.35,2,79.33,3007246,81.63,1332.7619
(3_64_16) T,TensorRT,94.92,0.33386,100,4271,495436,70.74,100,54,3.721129,6,1,84.77,2,83.59,495982,82.53,4867.52
(3_32_16) T,TensorRT,85.84,0.212728,100,4271,119588,66.54,100,54,3.125887,4,1,84.99,1,83.37,119932,65.92,1653.68
(6_150_16) T,TensorRT,99.13,0.365493,100,7596,5074128,72.97,88.88,52.96,4.105341,7,2,77.3,2,66.07,5074757,89.61,672.02
(6_128_16) T,TensorRT,98.59,0.362336,100,7596,3676464,73.35,100,52.96,4.090152,7,1,79.39,2,69,3677100,89.11,5970.67
(6_70_16) T,TensorRT,96.49,0.183686,100,7596,1063440,71.14,88.83,52.96,3.941639,7,1,85.38,2,80.54,1064000,86.77,4358.36
(6_32_16) T,TensorRT,95.49,0.176737,90.97,5653.2,678389,44.55,12.5,12.15,3.016573,1,10,85.51,3,37.65,678777,74.47,2220.93
(6_16_16) T,TensorRT,92.59,0.1801,91.28,5631.3,135152,47.45,12.5,12.14,2.852797,1,1,87.44,3,50.34,135537,67.91,1027.1239
(6_8_16) T,TensorRT,94.4,0.062459,92.45,5549,22196,57.14,12.5,12.11,0.439855,1,1,79.79,1,27.43,22268,10.22,314.5618
(6_32_32) T,TensorRT,88.64,0.175717,100,7596,212688,62.69,100,52.96,3.359471,1,1,83.56,2,81.3,213033,72.58,192.6183
(6_16_32) T,TensorRT,93.18,0.180191,92.52,5631.3,135152,44.3,12.5,18.57,2.731284,1,1,78.44,2,56.73,135543,65.08,1094.91
(6_8_32) T,TensorRT,92.96,0.031193,93.53,5549,22196,51.16,12.5,18.04,0.432551,1,1,65.9,1,37.67,22268,10.49,397.8879
(16_32_32) T,TensorRT,99.01,0.243156,95.18,3664.7,1759076,42.38,12.5,20.11,3.627092,1,2,67.52,4,39.03,1759444,87.21,200.8347
(16_16_32) T,TensorRT,96.31,0.229986,95.34,3655.9,350968,42.46,12.5,20.03,3.379768,1,2,69.24,4,43.39,351312,80.93,1946.2681
(16_8_32) T,TensorRT,90.28,0.062486,95.94,3625.4,58006,52.02,12.5,19.81,2.035735,1,1,70.05,10,54.84,58255,48.94,568.1368
(16_32_64) T,TensorRT,87.73,0.24112,100,32479,909412,63.27,100,48.35,3.733819,1,1,67.42,2,54.43,909756,84.86,182.3772
(16_16_64) T,TensorRT,95.81,0.227879,96.9,3655.9,350968,37.71,12.5,35.64,3.226831,1,2,47.44,3,57.02,351305,78.18,1919.78
(16_8_64) T,TensorRT,88.75,0.062485,97.29,3625.4,58006,42.82,12.5,35.01,2.006958,1,2,46.7,2,68.09,58253,48.73,934.8626
(32_32_64) T,TensorRT,88.3,0.243574,100,63083,1766324,83.35,100,48.01,4.031261,1,1,74.58,2,55.03,1766662,91.27,292.0695
(32_8_64) T,TensorRT,92.32,0.124499,98.57,6871.4,109942,52.02,12.5,28.47,2.261414,1,2,47.5,2,54.84,110188,53.93,4017.93
(1_256_3) CuGEMM,CuDNN Gemm,99.59,0.908798,99.99,746.285094,4465770,70.5,100,0,3.636247,0,4,55.6,5,0,4466735,83.99,300.8714
(1_400_6) CuGEMM,CuDNN Gemm,99.9,0.905471,100,749.874014,22052295,70.73,100,0,3.61742,0,4,55.72,5,0,22054095,83.58,56144.5
(1_320_6) CuGEMM,CuDNN Gemm,99.9,0.906107,100,748.854042,14042511,70.63,100,0,3.630432,0,4,55.67,5,0,14044002,84.02,42564
(1_256_6) CuGEMM,CuDNN Gemm,99.81,0.90906,100,748.199648,8930511,70.5,100,0,3.646923,0,4,55.6,5,0,8931648,84.07,30857.4
(1_128_6) CuGEMM,CuDNN Gemm,99.04,0.907258,100,742.620536,2162511,69.87,100,0,3.613456,0,4,55.27,5,0,2163327,83.39,14347.4
(1_32_6) CuGEMM,CuDNN Gemm,80.42,0.823703,100,689.79375,110367,65.75,100,0,3.069703,0,3,52.98,3,0,111107,71.39,1787.25
(1_256_9) CuGEMM,CuDNN Gemm,99.87,0.90807,100,748.881541,13395993,70.5,100,0,3.644971,0,4,55.6,5,0,13397415,84.19,41785.1
(1_64_9) CuGEMM,CuDNN Gemm,98.16,0.888876,99.95,742.040039,759849,68.56,100,0,3.628882,0,4,54.58,5,0,760623,83.98,9187.26
(1_256_12) CuGEMM,CuDNN Gemm,99.9,0.338734,97.75,1.99E+03,15791744,84.51,25,30.23,3.503437,7,1,32.6,1,21.98,15792464,79.44,6534.71
(1_64_12) CuGEMM,CuDNN Gemm,98.27,0.331867,97.65,1.98E+03,904664,84.37,25,30.23,3.351621,6,1,32.59,1,21.82,905015,75.5,1149.76
(3_150_16) CuGEMM,CuDNN Gemm,99.81,0.354167,99.43,3.93E+03,10488685,77.77,20,30.23,3.452021,8,1,35.03,1,14.42,10489275,78.33,7338.35
(3_64_16) CuGEMM,CuDNN Gemm,98.45,0.348427,99.39,3.92E+03,1788392,84.13,25,30.23,3.339619,7,1,40.65,1,15.93,1788775,75.99,2758.22
(3_32_16) CuGEMM,CuDNN Gemm,91.56,0.330708,99.2,3.91E+03,406396,83.63,25,30.23,3.102511,6,1,41.54,1,18.66,406739,69.98,1134.61
(6_150_16) CuGEMM,CuDNN Gemm,99.88,0.36183,99.86,6.83E+03,18256189,79.85,20,30.23,3.358025,8,1,39.03,1,10.96,18256978,76.26,9953.78
(6_128_16) CuGEMM,CuDNN Gemm,99.63,0.359936,99.86,6.83E+03,13172344,86.78,25,30.23,3.352087,8,1,43.8,1,10.49,13173001,76.09,8071.04
(6_70_16) CuGEMM,CuDNN Gemm,98.64,0.35644,99.83,6.83E+03,3769964,79.74,19.99,30.23,3.305961,8,1,39.42,1,12.17,3770372,74.84,3183.46
(6_32_16) CuGEMM,CuDNN Gemm,91.53,0.336286,99.74,6.81E+03,708724,86.25,25,30.23,3.119295,7,1,45.41,1,14.97,709068,70.84,2150.09
(6_16_16) CuGEMM,CuDNN Gemm,83.4,0.190854,99.28,6.75E+03,162074,84.03,25,30.23,2.485242,5,1,47.28,1,18.41,162298,56.07,3905
(6_8_16) CuGEMM,CuDNN Gemm,47.22,0.123569,98.05,6.59E+03,52744,72.46,25,30.23,2.117742,2,1,50.22,1,26.23,52838,48.4,2521.97
(6_32_32) CuGEMM,CuDNN Gemm,91.4,0.3394,99.72,6.87E+03,714336,79.15,25,30.23,3.136464,7,1,41.94,1,20.58,714686,71.28,2126.85
(6_16_32) CuGEMM,CuDNN Gemm,82.59,0.191213,99.21,6.80E+03,163196,76.69,25,30.23,2.490694,5,1,45.63,1,25.93,163420,56.97,3919.75
(6_8_32) CuGEMM,CuDNN Gemm,47.23,0.124157,97.84,6.62E+03,52968,66.37,25,30.23,2.134938,2,1,50.17,1,31.86,53061,47.79,3574.25
(16_32_32) CuGEMM,CuDNN Gemm,90.73,0.344695,99.94,1.69E+04,1755688,100,25,30.23,3.126532,7,1,46.26,1,2.86,1756050,71.09,3549.79
(16_16_32) CuGEMM,CuDNN Gemm,82.4,0.195851,99.73,1.68E+04,403508,100,25,30.23,2.61499,6,1,47.86,1,4.85,403730,59.31,3409.64
(16_8_32) CuGEMM,CuDNN Gemm,48.78,0.124481,99.19,1.66E+04,133072,100,25,30.23,2.233676,3,1,47.47,1,0,133167,51.08,3104.54
(16_32_64) CuGEMM,CuDNN Gemm,90.93,0.344476,99.93,1.70E+04,1766912,100,25,30.23,3.116565,7,1,44.13,1,2.9,1767278,70.66,3547.57
(16_16_64) CuGEMM,CuDNN Gemm,82.23,0.195929,99.68,1.69E+04,405752,100,25,30.23,2.622962,5,1,45.88,1,4.59,405975,59.81,3383.61
(16_8_64) CuGEMM,CuDNN Gemm,48.78,0.124701,99.03,1.67E+04,133520,100,25,30.23,2.260676,3,1,46.99,1,0,133615,51.04,6069.22
(32_32_64) CuGEMM,CuDNN Gemm,90.9,0.347349,99.96,3.31E+04,3446512,100,25,30.23,3.124816,7,1,47.78,1,3.67,3446902,70.86,3834.74
(32_8_64) CuGEMM,CuDNN Gemm,49.36,0.124847,99.51,3.28E+04,262720,100,25,30.23,2.294649,3,1,48.45,1,0,262815,44.77,5254.4
(1_256_3) Precomp GEMM,Precomp GEMM,99.77,0.463789,94.59,1.73E+03,6868100,76.88,25,35.71,3.76973,5,1,79.7,1,89.93,6868549,85.37,8370.3
(1_400_6) Precomp GEMM,Precomp GEMM,99.91,0.457439,94.26,1.76E+03,17236817,72.94,25,35.71,3.701101,5,1,71.04,1,90.78,17237487,83.82,21111.8
(1_320_6) Precomp GEMM,Precomp GEMM,99.86,0.457582,94.25,1.76E+03,10976557,72.85,25,35.71,3.697948,5,1,71.12,1,90.86,10977098,83.79,13552.9
(1_256_6) Precomp GEMM,Precomp GEMM,99.78,0.455504,94.25,1.76E+03,6981245,72.73,25,35.71,3.696445,5,1,71.17,1,91.04,6981682,83.81,8778.19
(1_128_6) Precomp GEMM,Precomp GEMM,99.07,0.44736,94.24,1.76E+03,1691677,72.15,25,35.71,3.672437,5,1,71.15,1,91.08,1692010,83.17,2389.27
(1_32_6) Precomp GEMM,Precomp GEMM,86.06,0.284907,93.99,1.76E+03,87925,68.4,25,35.71,2.867814,3,1,69.85,1,87.25,88228,65.28,767.33
(1_256_9) Precomp GEMM,Precomp GEMM,99.77,0.456017,95.45,1.76E+03,6981245,70.68,25,35.71,3.693626,5,1,65.38,1,91.95,6981683,83.76,8764.06
(1_64_9) Precomp GEMM,Precomp GEMM,95.87,0.4168,95.39,1.76E+03,397421,69.11,25,35.71,3.493377,4,1,65.1,1,90.94,397717,79.25,1394.62
(1_256_12) Precomp GEMM,Precomp GEMM,99.58,0.184991,100,4.29E+03,4259290,78.07,100,59.88,2.853202,4,1,81.27,1,85.19,4259651,64.65,24062.5
(1_64_12) Precomp GEMM,Precomp GEMM,95.88,0.416731,96.59,1.76E+03,397421,66.62,25,35.71,3.489724,4,1,61.2,1,91.72,397719,79.09,1812.14
(3_150_16) Precomp GEMM,Precomp GEMM,99.12,0.182145,100,8.46E+03,2823970,76.28,88.88,56.39,3.236114,4,1,83.35,2,80.37,2824304,71.85,20309.4
(3_64_16) Precomp GEMM,Precomp GEMM,96.94,0.429652,99.41,3.95E+03,891909,67.55,25,35.71,3.720874,5,1,76.7,1,90.57,892224,84.72,1507.51
(3_32_16) Precomp GEMM,Precomp GEMM,89.64,0.284729,99.29,3.95E+03,197325,65.71,25,35.71,3.100322,4,1,75.29,1,87.27,197627,70.88,1220.1
(6_150_16) Precomp GEMM,Precomp GEMM,99.36,0.182446,100,1.47E+04,4913140,77.34,88.88,54.74,3.527133,5,1,81.44,2,71.71,4913491,77.12,23457.9
(6_128_16) Precomp GEMM,Precomp GEMM,99.07,0.181017,100,1.47E+04,3559820,77.85,100,54.74,3.513407,5,1,82.63,2,74.15,3560152,76.76,13979.5
(6_70_16) Precomp GEMM,Precomp GEMM,97.95,0.444636,99.85,7.23E+03,1980609,69.86,19.99,35.71,3.888527,6,1,68.79,2,61.4,1980939,88.68,2851.58
(6_32_16) Precomp GEMM,Precomp GEMM,91.27,0.287535,99.8,7.23E+03,361425,68.31,25,35.71,3.263135,5,1,78.66,1,81.75,361734,74.09,1862.59
(6_16_16) Precomp GEMM,Precomp GEMM,91.83,0.076741,99.46,7.23E+03,72285,63.83,25,35.71,1.418144,2,1,75.94,1,74.86,72393,32.39,1231.38
(6_8_16) Precomp GEMM,Precomp GEMM,47.16,0.031095,97.8,7.23E+03,14457,53.19,25,35.71,0.583555,1,1,75.92,1,67.02,14479,13.31,1200.33
(6_32_32) Precomp GEMM,Precomp GEMM,91.83,0.28874,99.77,7.34E+03,367050,65.02,25,35.71,3.245799,4,2,62.19,2,59.24,367357,74.17,1419.21
(6_16_32) Precomp GEMM,Precomp GEMM,92.34,0.077541,99.32,7.34E+03,73410,61.92,25,35.71,1.404928,2,1,68.59,1,68.56,73519,32.15,1242.81
(6_8_32) Precomp GEMM,Precomp GEMM,47.24,0.031246,97.07,7.34E+03,14682,54.35,25,35.71,0.581117,1,1,68.28,1,58.74,14703,13.26,1218.45
(16_32_32) Precomp GEMM,Precomp GEMM,92.97,0.298209,99.96,1.85E+04,922700,86.36,25,35.71,3.452986,5,2,66.16,2,46.38,923014,78.47,1891.31
(16_16_32) Precomp GEMM,Precomp GEMM,94.62,0.077506,99.78,1.85E+04,184540,80.97,25,35.71,1.507907,2,1,72.9,1,60.07,184650,34.43,1547.72
(16_8_32) Precomp GEMM,Precomp GEMM,48.79,0.031248,98.88,1.85E+04,36908,75,25,35.71,0.621069,1,1,69.27,1,43.48,36930,14.18,1858.86
(16_32_64) Precomp GEMM,Precomp GEMM,96.79,0.395953,99.96,1.85E+04,1845400,86.36,25,35.71,3.757241,6,2,64,2,41.91,1845725,85.86,2640.43
(16_16_64) Precomp GEMM,Precomp GEMM,97.63,0.14073,99.78,1.85E+04,369080,80.97,25,35.71,2.405476,4,1,70.6,1,56.02,369277,55.11,1852.39
(16_8_64) Precomp GEMM,Precomp GEMM,98.41,0.031248,98.88,1.85E+04,73816,75,25,35.71,0.621115,1,1,69.22,1,43.72,73857,14.18,1737.06
(32_32_64) Precomp GEMM,Precomp GEMM,90.98,0.146241,100,7.10E+04,1987720,80.36,100,52.88,3.55125,4,1,81.9,2,68.87,1988007,76.46,14646.3
(32_8_64) Precomp GEMM,Precomp GEMM,98.52,0.031249,99.43,3.63E+04,145216,75,25,35.71,0.634715,1,1,70.62,1,44.02,145263,14.48,1475.28